timestamp,u10_pred,v10_pred,t2m_pred,t850_pred,z500_pred,u10,v10,t2m,t850,z500
2018010600,1.9026116,0.98426604,278.64398,273.27872,53470.0,0.6090482,1.9811939,279.1759,274.35312,53367.6
2018010700,-1.7395555,-1.3165245,278.9947,274.77292,54525.88,0.035182085,-2.8481078,279.07623,272.80536,54161.684
2018010800,-1.6677631,-1.0457515,271.45557,270.66995,54759.004,-3.278814,-1.2646942,272.78125,269.3192,55019.902
2018010900,-5.4667897,-0.49238825,273.09058,272.98663,55249.883,-5.2771173,0.6097073,270.23376,274.1217,55582.105
2018011000,-3.188651,1.6630741,274.82382,275.45413,54424.66,-2.852452,2.6213675,278.50015,276.8266,54681.832
2018011100,0.10650709,-0.41382402,277.13477,274.2542,54070.2,-0.48162043,1.0500325,276.50482,271.1441,53750.78
2018011200,-2.3309443,-1.4006977,274.68268,272.52966,54749.688,-2.0998583,-1.0933957,275.02377,271.32983,54294.188
2018011300,-4.077611,-0.94077516,274.2773,267.14917,54569.066,-4.247819,0.07055606,273.11215,265.64587,54772.28
2018011400,-4.92013,1.4727945,269.69427,266.5608,54161.22,-4.5805106,0.32640582,271.10486,265.33926,54150.17
2018011500,-0.9812387,3.3005211,270.82626,268.68958,54561.1,-3.4166281,1.9647229,267.8218,264.83954,53863.55
2018011600,0.40450507,7.620616,273.34552,271.34134,52855.44,-1.6196626,7.044384,270.9115,271.60107,52830.773
2018011700,1.9852335,2.3534331,274.86655,270.01395,50735.12,5.4971385,1.6781272,274.659,267.51938,50662.32
2018011800,6.4438148,-0.15441222,274.28546,265.90915,50984.758,5.10846,0.43731067,273.50882,265.9112,51145.816
2018011900,10.833808,1.9993849,277.1385,268.27026,50982.78,11.053843,-0.7859368,275.56796,266.6615,50999.688
2018012000,-2.7298892,2.0880678,272.24835,268.96826,52132.402,1.4639257,1.2575673,273.1839,266.32834,51853.207
2018012100,-1.9723887,-2.537197,273.0906,266.15244,52394.13,-1.7445565,0.6437474,270.80585,266.21338,51381.926
2018012200,-0.36414832,1.5619885,270.93323,263.43582,52330.453,1.8138441,-0.44004542,272.0776,263.21957,52215.477
2018012300,-2.699155,4.0648274,271.8942,270.764,52781.65,-1.76932,2.01743,270.8218,266.00406,52779.09
2018012400,1.829928,2.990137,275.62186,270.06308,54892.63,-0.47300705,3.605236,274.69885,269.51675,54772.984
2018012500,0.6371552,4.347462,277.6226,277.80685,55326.805,1.7212503,5.2885737,278.6357,280.74466,55211.375
2018012600,0.4297635,1.9775033,274.70734,274.7544,54413.938,0.51430106,3.3823283,276.01843,276.6217,54639.777
2018012700,2.0528233,-0.4190715,276.60275,270.2486,54461.53,2.7451653,0.6525319,277.63306,274.13202,54704.855
2018012800,0.40741622,2.0001762,275.85736,272.02252,55480.094,1.9968783,3.2198143,276.3394,270.08572,55122.336
2018012900,6.414196,0.84567696,281.04468,276.5032,55844.684,7.179977,0.56358844,281.37256,274.99435,55246.85
2018013000,8.159879,-0.6663471,280.9458,272.2368,54233.273,9.531428,-1.5370151,281.58188,271.89734,53497.285
2018013100,2.0711935,2.0783627,273.73846,269.1649,54067.1,2.1939092,0.92814696,273.56265,268.45248,54064.656
