timestamp,u10_pred,v10_pred,t2m_pred,t850_pred,z500_pred,u10,v10,t2m,t850,z500
2018010818,-4.9648075,-1.3407431,277.02292,276.03235,54470.625,-4.5729737,0.31322902,271.5035,272.51645,55462.05
2018010918,-6.380386,-0.62563187,273.18103,274.6643,53721.8,-4.895975,3.1308708,277.80447,277.82452,54916.297
2018011018,-3.5218475,-1.8426002,270.08252,267.56775,53741.0,-0.07786847,1.2795286,277.69684,273.0604,54000.754
2018011118,-3.1103065,0.18104066,273.11542,272.9436,54218.348,-1.7725501,-1.097788,276.64636,271.6718,54120.805
2018011218,-1.8681827,-1.7625959,270.20978,266.7501,54744.758,-4.801228,0.14632273,273.9095,267.82452,54744.09
2018011318,-3.3663402,1.1214612,273.5513,271.0984,54625.004,-5.180217,0.88093,273.38525,266.4212,54294.188
2018011418,-1.2154367,5.68482,272.61542,270.9266,54899.64,-3.347721,1.3223532,270.09222,265.41885,53907.484
2018011518,-2.6231318,6.6234097,272.00696,269.07263,53234.324,-1.5475256,5.724507,271.2643,269.4843,53271.043
2018011618,-2.436967,2.2758923,273.81747,271.67484,52568.27,2.0679386,3.929166,273.56662,270.8257,51155.684
2018011718,0.83342516,0.95437986,273.3123,266.86908,50546.73,5.853517,-0.123801924,274.2663,266.08807,50838.992
2018011818,-2.9765363,7.00756,274.59265,269.7321,51355.37,9.607872,3.2549524,278.02576,269.9678,50947.062
2018011918,0.3447706,2.3600492,273.31696,266.5718,50919.016,2.1260788,0.5471175,274.22644,265.93036,51802.46
2018012018,0.659027,-1.7305671,272.60098,265.493,51651.906,0.10516576,1.9592326,272.7115,266.49344,51416.46
2018012118,-1.1890589,-1.0898416,271.88614,264.38303,52117.03,0.97188663,-2.5483353,272.41846,264.2971,51984.773
2018012218,2.680682,-2.7807999,272.6145,263.96805,53139.24,-3.466155,3.1758916,271.97595,266.2502,52744.555
2018012318,-1.1143099,-1.2578504,267.7373,267.40778,54082.223,-0.74109834,1.789032,273.67825,267.7685,54473.914
2018012418,0.7174465,2.1725018,278.0896,275.27823,55484.383,1.7449371,5.471951,278.10547,277.29092,55426.812
2018012518,1.3984654,2.6565244,281.54565,279.5666,54948.082,-0.22321917,4.157564,278.41446,276.09253,54785.438
2018012618,2.639583,-0.3351981,276.72455,268.99857,53817.844,1.1570742,1.2279195,275.10352,274.27795,54589.734
2018012718,1.5118247,4.1603265,275.74686,270.7235,54621.07,1.7513971,-0.009602883,278.1015,269.3885,54944.723
