timestamp,u10_pred,v10_pred,t2m_pred,t850_pred,z500_pred,u10,v10,t2m,t850,z500
2018010500,-0.28279418,5.344207,278.35727,273.61307,52718.645,0.15469266,5.2567296,279.12408,274.474,52585.5
2018010600,2.5169394,2.4193645,279.80066,274.81488,53613.12,0.6090482,1.9811939,279.1759,274.35312,53367.6
2018010700,-0.8585038,-3.0149634,278.49948,272.3023,54033.176,0.035182085,-2.8481078,279.07623,272.80536,54161.684
2018010800,-2.5722525,-0.97738147,273.38416,271.46072,54932.84,-3.278814,-1.2646942,272.78125,269.3192,55019.902
2018010900,-5.2439084,-0.13661282,272.21274,271.7868,55355.133,-5.2771173,0.6097073,270.23376,274.1217,55582.105
2018011000,-2.0868359,2.9526248,277.9919,275.9573,54299.66,-2.852452,2.6213675,278.50015,276.8266,54681.832
2018011100,0.42339778,-0.592945,277.55643,272.92548,53871.29,-0.48162043,1.0500325,276.50482,271.1441,53750.78
2018011200,-0.7419068,-2.4807684,276.18158,271.71,54302.25,-2.0998583,-1.0933957,275.02377,271.32983,54294.188
2018011300,-4.8954597,-0.30268818,272.64615,267.1138,54713.21,-4.247819,0.07055606,273.11215,265.64587,54772.28
2018011400,-4.036936,1.4459264,271.40436,267.37012,54713.613,-4.5805106,0.32640582,271.10486,265.33926,54150.17
2018011500,-2.4759104,2.1160758,267.42728,266.12048,54107.8,-3.4166281,1.9647229,267.8218,264.83954,53863.55
2018011600,-1.1135516,6.683185,271.83072,270.95367,52951.99,-1.6196626,7.044384,270.9115,271.60107,52830.773
2018011700,6.0310445,0.85241836,275.8664,269.62628,50595.24,5.4971385,1.6781272,274.659,267.51938,50662.32
2018011800,5.6476407,-0.068687186,273.96558,265.64685,51239.746,5.10846,0.43731067,273.50882,265.9112,51145.816
2018011900,11.718686,0.65920335,276.5619,268.1055,51127.387,11.053843,-0.7859368,275.56796,266.6615,50999.688
2018012000,-0.24485187,1.367536,271.70938,266.44125,51708.176,1.4639257,1.2575673,273.1839,266.32834,51853.207
2018012100,1.2325577,-0.756334,272.1553,264.59238,51553.895,-1.7445565,0.6437474,270.80585,266.21338,51381.926
2018012200,0.08679047,-0.99167347,271.04904,263.12314,51957.69,1.8138441,-0.44004542,272.0776,263.21957,52215.477
2018012300,-3.0756671,2.558066,270.35016,267.4321,53431.24,-1.76932,2.01743,270.8218,266.00406,52779.09
2018012400,0.43151605,3.201119,274.2997,269.09933,54744.668,-0.47300705,3.605236,274.69885,269.51675,54772.984
2018012500,-0.16795856,4.7566524,276.02167,277.8966,55268.965,1.7212503,5.2885737,278.6357,280.74466,55211.375
2018012600,-0.15741873,3.5938644,275.28195,277.73145,54546.98,0.51430106,3.3823283,276.01843,276.6217,54639.777
2018012700,1.3557373,-0.14704959,275.9955,272.5987,54633.445,2.7451653,0.6525319,277.63306,274.13202,54704.855
2018012800,1.207485,2.6542375,275.86917,271.0807,55390.363,1.9968783,3.2198143,276.3394,270.08572,55122.336
2018012900,7.1543965,0.7344209,281.40442,274.26764,55383.0,7.179977,0.56358844,281.37256,274.99435,55246.85
2018013000,8.089163,-0.77291304,280.4877,271.81302,53928.53,9.531428,-1.5370151,281.58188,271.89734,53497.285
2018013100,2.6005712,2.1703908,275.07355,268.3995,53926.004,2.1939092,0.92814696,273.56265,268.45248,54064.656
2018020100,4.481249,1.7068131,278.44485,270.96344,52595.258,1.3993254,4.6022816,279.10016,273.04858,53031.88
2018020200,2.6437573,2.9540625,274.87708,268.36453,51991.79,0.89974964,1.6023605,274.1766,267.6653,52081.8
2018020300,3.3705654,2.1354055,274.5424,268.20413,52171.996,1.4283955,2.1228447,274.51944,267.42358,51938.49
2018020400,1.6116204,-2.958704,272.4148,264.24377,51469.54,2.427547,-1.1340243,274.61713,266.78677,51839.348
2018020500,1.3202422,-3.2634485,272.55362,264.44708,52576.32,-0.25228932,-2.4846475,272.1932,263.36697,52632.254
2018020600,1.197162,0.004669428,267.24,260.14203,52018.434,2.0130284,0.080438666,266.54208,259.72015,52593.96
2018020700,-1.4669522,1.6802397,266.29047,261.03705,52721.598,-2.724328,2.195317,268.665,268.89026,53141.36
2018020800,-0.8056275,-1.6105081,270.84915,267.34274,53455.555,-0.8240021,-1.6402334,270.21582,268.6102,53316.62
2018020900,-1.0044817,-0.70922863,271.1233,268.04102,53589.883,0.12562253,-1.5249363,268.0949,267.41327,53435.26
2018021000,-1.412955,1.4713968,271.71243,267.40857,53235.02,-1.5399889,0.36703435,268.74274,267.29092,53221.004
2018021100,0.012022667,2.1351762,272.50873,265.29272,52753.26,-0.054181684,2.0569606,270.78992,266.57745,52991.0
2018021200,1.9647908,1.7997754,274.9137,269.4399,52499.46,1.8332242,2.0547645,274.72476,267.97046,52487.062
2018021300,1.1501808,0.4370656,271.65637,265.34235,52440.32,2.1809893,-0.27862948,272.259,265.01053,52171.78
2018021400,-2.3124368,-1.7131219,273.77234,265.63196,52532.926,-1.0188798,-1.196614,269.57596,264.25583,52013.2
2018021500,-0.62681836,0.024345428,271.33957,264.9353,53129.348,0.39263716,-1.8499644,271.62512,263.2343,52709.08
