timestamp,u10_pred,v10_pred,t2m_pred,t850_pred,z500_pred,u10,v10,t2m,t850,z500
2018010218,4.6062207,-1.2770773,277.908,269.00467,52716.836,5.07616,-0.9879812,277.32806,269.4165,52614.4
2018010318,5.0389867,1.3520184,277.90604,271.22656,51635.527,6.404773,2.5214431,278.56992,271.99316,51614.75
2018010418,1.1201812,3.3357916,278.0454,271.32147,52270.75,0.7759324,3.8533993,277.7048,271.719,52436.55
2018010518,4.80947,1.0757787,280.66345,272.32574,52880.938,3.425622,3.4679775,280.645,273.68686,53145.117
2018010618,0.89617145,-0.7122294,277.62695,273.08466,53982.766,0.17407276,0.83590925,278.36462,273.8269,54003.1
2018010718,-3.57395,-1.6108135,275.04163,270.05,54799.484,-3.8720603,-1.1504952,274.96,268.69568,54826.785
2018010818,-4.2482905,-0.1666954,271.5592,272.35333,55354.176,-4.5729737,0.31322902,271.5035,272.51645,55462.05
2018010918,-4.696998,4.3685317,279.3892,278.78735,54875.414,-4.895975,3.1308708,277.80447,277.82452,54916.297
2018011018,-0.3177905,1.1579162,278.04895,274.3031,53810.79,-0.07786847,1.2795286,277.69684,273.0604,54000.754
2018011118,-1.0467885,-0.73420954,276.3777,270.34006,54125.56,-1.7725501,-1.097788,276.64636,271.6718,54120.805
2018011218,-4.148777,-0.50533205,273.7083,265.76123,54828.703,-4.801228,0.14632273,273.9095,267.82452,54744.09
2018011318,-5.65637,1.1629757,271.70065,266.2766,54303.48,-5.180217,0.88093,273.38525,266.4212,54294.188
2018011418,-3.591014,1.1775211,269.0371,266.10425,53862.137,-3.347721,1.3223532,270.09222,265.41885,53907.484
2018011518,-1.6673139,5.7159476,271.17715,268.81805,53148.555,-1.5475256,5.724507,271.2643,269.4843,53271.043
2018011618,5.123702,2.3265166,275.28708,269.44867,50981.53,2.0679386,3.929166,273.56662,270.8257,51155.684
2018011718,5.7765875,-0.657551,274.24725,265.64874,50801.027,5.853517,-0.123801924,274.2663,266.08807,50838.992
2018011818,7.64963,4.330363,277.41602,270.11148,50848.77,9.607872,3.2549524,278.02576,269.9678,50947.062
2018011918,1.6250982,0.68881744,273.84583,266.4262,51753.887,2.1260788,0.5471175,274.22644,265.93036,51802.46
2018012018,0.026044272,1.4485235,272.58487,265.51474,51322.945,0.10516576,1.9592326,272.7115,266.49344,51416.46
2018012118,0.15323648,-2.3174064,272.76166,263.63095,51929.117,0.97188663,-2.5483353,272.41846,264.2971,51984.773
2018012218,-4.067153,2.695939,270.75757,266.33127,52797.95,-3.466155,3.1758916,271.97595,266.2502,52744.555
2018012318,-1.0329609,1.7264477,272.41467,268.44904,54543.25,-0.74109834,1.789032,273.67825,267.7685,54473.914
2018012418,1.3146511,4.462627,278.0135,276.42267,55344.953,1.7449371,5.471951,278.10547,277.29092,55426.812
2018012518,0.31787252,3.3718731,278.63702,277.03516,54738.297,-0.22321917,4.157564,278.41446,276.09253,54785.438
2018012618,1.0082855,1.470424,275.7939,274.8247,54616.688,1.1570742,1.2279195,275.10352,274.27795,54589.734
2018012718,0.20343281,0.61307275,276.5668,270.80173,54875.184,1.7513971,-0.009602883,278.1015,269.3885,54944.723
2018012818,6.804004,0.36548716,280.50363,271.23483,55201.316,7.0001726,0.76124066,281.0337,271.3726,55192.11
2018012918,7.160498,1.3031191,282.15634,272.03857,54710.652,7.179977,1.2136445,282.87955,272.826,54662.8
2018013018,5.7247386,-0.97949123,277.37015,267.19656,53857.688,5.4217715,-0.35000387,276.59653,267.03738,53921.11
2018013118,1.8304497,5.554855,279.34448,275.00143,53551.543,2.4383137,5.5532084,279.58853,274.08337,53451.473
2018020118,0.82952785,0.92596054,275.33514,268.87592,52268.547,0.75439894,1.4552194,276.19586,269.50348,52157.918
2018020218,0.45472157,1.0323207,273.383,266.1425,52017.375,1.2410547,1.9735074,274.09488,267.04474,51956.812
2018020318,0.6984565,-1.2484828,274.24448,266.72284,51705.156,2.0862422,-0.7321314,273.82776,266.7175,51791.656
2018020418,-0.6379212,-2.0912695,273.70624,264.47717,52523.555,-0.0025014335,-2.182679,273.9613,264.67593,52548.85
2018020518,1.0270786,-0.9622371,268.1714,259.36676,52358.66,-0.3265797,-1.7390596,268.069,260.9215,52541.805
2018020618,-2.5229814,0.88172686,268.11664,263.0876,52773.875,-2.7964652,2.3281832,268.8145,263.47015,52920.05
2018020718,-1.4570878,-1.009357,273.29526,268.97128,53415.746,-1.7057964,-0.92099905,272.20917,268.58807,53361.727
2018020818,1.0995929,-2.1840875,270.98785,268.01175,53351.51,0.777009,-1.9927132,270.57462,267.3926,53427.04
2018020918,-2.1460445,0.73218846,270.78064,267.9057,53150.15,-1.4893854,0.89191073,270.27563,267.36905,53261.41
2018021018,-1.451795,0.8572687,272.06754,267.60284,53104.15,-0.92197925,0.831517,271.36398,267.96603,53120.215
2018021118,0.34465402,3.3659658,275.14346,267.5876,52802.39,-0.74109834,3.5536268,274.30817,268.1665,52697.332
2018021218,1.4070643,0.15843919,273.17084,266.1733,52331.55,1.945198,0.8754397,273.17395,266.37994,52169.43
2018021318,-1.776723,-1.0337114,272.7256,264.3468,52093.75,-2.274279,0.4702527,272.9527,264.60812,52031.992
2018021418,-0.84198236,-2.2750483,273.06213,263.2741,52432.383,-0.4331702,-2.8612847,272.0497,263.55417,52525.83
2018021518,-2.843641,2.9223933,272.44467,267.6925,54019.6,-2.2925825,3.6304915,272.6537,268.57187,53960.812
2018021618,3.055017,0.30780762,274.94147,267.01355,53562.64,2.8162258,0.5416271,275.31082,267.0875,53455.938
2018021718,-1.219284,-1.492945,274.7226,267.3083,53455.54,-0.28135946,-2.3287218,274.64703,265.98636,53413.18
2018021818,0.2049206,-0.85355234,273.42947,264.01556,53402.04,1.6178898,-0.32914057,274.055,263.35223,53564.008
2018021918,-2.5550213,0.5650843,273.64264,268.3498,53060.965,-2.0890915,1.5858895,273.2238,268.1326,53135.016
2018022018,-2.4057689,-1.9388136,273.87408,268.72314,53077.246,-2.4196298,-1.7599229,272.39456,268.06775,52944.72
2018022118,-1.8014088,-2.2219567,273.03564,262.3346,53059.965,-2.1558452,-2.5285702,272.60785,262.47812,52958.58
2018022218,-3.1388526,-1.8346986,270.5062,261.13965,53160.5,-3.0774765,-1.5534861,270.8537,258.82098,53193.75
2018022318,-1.871399,-1.9285201,268.41187,264.1695,53650.984,-1.7144098,-2.4088807,268.17264,262.75082,53522.426
2018022418,-2.3729084,-4.2131343,264.7685,256.49448,52081.727,-2.3970199,-4.5149746,266.68362,257.31744,52178.36
2018022518,-1.0427626,-1.6768248,264.1507,254.97598,51818.023,-1.2751276,-1.8411798,265.35803,254.02881,51777.793
2018022618,-1.9368932,-2.1278312,263.59564,254.1767,51457.59,-3.2508206,-2.4890397,263.42648,252.22751,51578.805
2018022718,-3.4494982,-2.250449,263.3082,251.85782,51204.72,-4.5805106,-2.5527277,264.2318,252.51053,51345.51
2018022818,-2.588115,-1.994007,262.7704,255.78352,52150.016,-2.8083084,-2.2705243,265.84842,254.79237,52136.773
2018030118,-2.8524015,-0.59963626,262.17465,257.50427,52083.867,-3.4360082,-0.89574355,265.3441,258.63376,52209.137
2018030218,-2.89762,-2.1456091,264.74554,257.83868,51373.715,-3.9625008,-2.4495094,266.76535,260.27292,51827.6
2018030318,-1.6255001,-0.6901922,262.90152,261.1213,52255.94,-2.546677,-1.2493213,266.82117,262.6771,52150.87
2018030418,-3.1734397,1.7617058,270.7143,269.5426,52721.06,-3.2077537,2.4094403,271.34406,270.73874,52763.348
2018030518,-1.1950707,2.3170407,274.48752,275.38977,53005.06,-0.93597597,2.9189436,274.03506,274.71426,52962.574
2018030618,-2.3109653,1.3677113,275.309,270.43558,52296.7,-2.2064488,-0.93637204,274.32013,271.7514,52337.41
2018030718,1.36753,0.40994257,276.71133,270.50122,52310.31,1.446699,2.2381418,276.87158,271.1662,52285.957
2018030818,0.011728726,2.1407032,277.5779,270.97467,52516.98,0.30865675,2.4259112,276.6583,270.52206,52392.15
2018030918,2.7412925,-0.5973389,278.98303,269.80215,52963.1,2.3629467,1.3399223,277.57724,270.32895,53029.766
2018031018,-1.05467,2.623976,282.37424,277.519,54091.19,-0.14677547,2.777293,282.8935,276.69983,54150.875
2018031118,-2.200136,3.0437496,286.50647,280.55286,54201.305,-1.6315061,3.5437443,283.93402,279.219,54165.44
