timestamp,u10_pred,v10_pred,t2m_pred,t850_pred,z500_pred,u10,v10,t2m,t850,z500
2018010212,4.218951,1.251943,279.30096,270.4644,52736.676,5.889047,-0.14466521,278.7214,269.81744,52654.81
2018010312,0.26667666,7.3779488,275.21548,272.63516,52190.902,0.026568709,6.8225746,275.60184,272.45895,52047.5
2018010412,5.2146554,2.7435496,280.82764,270.8807,51906.582,4.3795533,3.296679,280.81644,271.4404,52064.18
2018010512,4.302652,3.3747535,282.3682,273.1758,52560.71,3.8928976,3.798496,281.8151,272.9911,52790.367
2018010612,2.8395412,0.062993735,281.61182,273.86118,53784.977,1.4434689,0.4570759,282.90744,272.7641,53838.65
2018010712,-3.1477408,-3.3656793,276.7503,270.23636,54558.13,-2.648961,-2.7328107,276.3354,268.81802,54587.62
2018010812,-3.8056304,-1.2276367,274.62988,271.41415,55197.35,-3.6621094,-0.56742126,275.12344,271.33572,55246.617
2018010912,-5.615321,3.5875611,278.30597,277.49472,55242.156,-5.5688953,3.1308708,276.8337,276.95483,55248.73
2018011012,-0.5637967,2.1238794,279.7463,274.73685,54010.047,-1.4010983,2.2205727,278.13138,273.7576,54185.176
2018011112,-0.35345978,0.15335187,276.93,270.8731,53865.613,-0.7712452,0.69645464,277.63904,271.2856,53961.05
2018011212,-3.5517786,-0.6558049,274.5331,268.42975,54708.965,-4.031408,-0.206157,274.5394,270.25818,54648.94
2018011312,-6.1157,1.5092053,272.6105,266.48032,54443.727,-5.866057,0.847988,273.166,265.22134,54475.793
2018011412,-3.9623256,1.8948643,270.83875,266.1137,53933.49,-3.725633,1.8175818,271.22247,266.37405,53937.32
2018011512,-1.3403995,5.186229,273.28415,267.6188,53396.766,-0.5752909,6.0264754,273.158,267.48843,53545.215
2018011612,1.3822836,5.9887104,274.14496,271.82065,51633.625,0.6521151,4.6846366,274.76862,271.56125,51611.223
2018011712,4.3255663,0.24333152,275.1183,266.754,50628.56,2.582588,1.7198538,275.4583,267.09927,50721.758
2018011812,-1.2145808,6.3570476,275.47723,268.5002,51602.344,-0.93597597,7.2288594,275.65366,268.79004,51628.61
2018011912,4.2797537,-0.9173174,276.14774,266.44128,51581.824,4.455997,-1.5271325,275.98856,265.95837,51616.156
2018012012,2.1160588,1.5318489,275.1383,265.4152,51474.926,1.7664706,2.6070924,275.7693,265.78296,51541.684
2018012112,-1.1024132,-2.780032,273.5538,265.18338,51734.453,0.7920824,-2.6680248,274.30417,264.96042,51674.89
2018012212,-3.0533185,3.646669,272.5705,265.23538,52606.996,-2.6500378,3.9467351,272.6776,265.099,52612.05
2018012312,-0.28244781,0.60636544,273.025,266.73883,54052.418,2.32634,-0.24568744,274.6271,266.40207,54019.08
2018012412,2.3702214,3.4893684,279.0606,276.0706,55195.996,2.473844,3.9313622,279.94333,276.12347,55267.76
2018012512,1.3503824,3.4534712,281.946,276.92398,54856.363,1.6684934,4.069719,282.2397,276.31216,54895.387
2018012612,0.75082713,2.0933309,279.1744,276.1595,54492.316,0.82115257,1.7473054,279.04834,275.3658,54422.227
2018012712,0.80471885,-0.4023615,277.5486,271.11115,54904.906,1.3691785,0.5218619,279.22375,270.45425,54768.29
2018012812,6.6558795,1.2101886,279.64386,271.9057,55147.48,6.9969425,0.10898843,280.63104,270.56628,55100.484
2018012912,7.571712,1.6972487,283.41284,273.8344,55105.656,6.521054,2.0602548,283.61508,273.04562,55096.023
2018013012,8.947419,-3.4015124,279.37787,267.37778,53638.15,9.518508,-2.4978242,278.86893,267.05505,53733.867
2018013112,0.9091338,5.0476475,279.10715,271.75583,53824.582,1.1570742,5.646544,279.6284,271.7175,53783.67
2018020112,2.830612,-0.94025445,277.95944,269.89633,52439.19,1.2765849,-1.4952885,277.5274,269.99582,52305.223
2018020212,2.403241,1.2389054,276.8738,267.1386,52018.99,2.4027836,1.4892595,278.11346,267.75525,51952.117
2018020312,1.3364068,-0.38381124,276.2726,266.9266,51799.816,1.6792601,1.0390518,277.70282,267.1789,51836.996
2018020412,1.8035674,-2.8540103,274.33365,265.01215,52313.914,2.5341377,-2.6790054,274.26828,265.53235,52270.22
2018020512,-0.6906138,-3.4577239,271.68143,260.10394,52514.473,-1.3160412,-2.6976726,271.85434,260.48666,52591.14
2018020612,-1.6993288,2.293401,271.53864,261.177,52603.22,-1.9458942,1.6364006,271.57727,260.86255,52639.535
2018020712,-1.8000511,0.668018,274.85168,268.88425,53373.668,-1.4269384,1.1038377,274.99188,270.72253,53413.414
2018020812,1.0877047,-3.0567038,272.29156,268.5063,53359.766,0.36572036,-3.1687436,273.7002,268.5645,53395.56
2018020912,-0.49626988,1.2630913,271.67392,267.67984,53228.316,-0.8444589,0.31871936,272.36664,267.98962,53311.688
2018021012,-0.27008605,1.0367094,272.98495,267.61902,53170.48,1.1140074,1.0950532,271.80652,267.826,53211.84
2018021112,0.52254844,4.3492684,276.72723,266.29602,52804.957,0.8383793,4.2498016,276.50482,266.28412,52750.19
2018021212,3.2058313,-0.15088855,277.03226,266.67758,52244.215,4.103925,-0.6893068,277.94202,267.02707,52177.652
2018021312,0.8287375,-0.49176115,275.81924,264.2288,52124.07,0.5724414,-0.21054928,275.4962,264.37817,52064.883
2018021412,-2.1400049,-2.480888,275.12695,263.501,52224.29,-2.46162,-2.5977485,273.77194,263.78265,52289.246
2018021512,-1.758817,2.890892,273.8589,265.11905,53670.99,-1.1922239,2.7531354,273.6683,263.93744,53691.11
2018021612,4.9888806,-1.4621164,277.805,267.41467,53526.99,4.164219,-2.232092,279.10016,267.3027,53555.785
2018021712,1.6781294,-0.20187078,277.63705,267.09708,53603.906,2.063632,-0.30937538,277.21246,265.41443,53564.477
2018021812,0.44718474,-2.4744577,275.20496,263.56873,53319.26,0.5121477,-1.9993016,275.96463,263.2284,53488.594
2018021912,-1.3206006,2.2718604,276.32355,267.99188,53203.94,-2.3356495,2.7366645,276.08224,267.74936,53250.605
2018022012,-2.8928459,-0.99779737,276.97375,268.7655,52936.496,-2.852452,-0.92209715,274.78854,269.19244,52893.74
2018022112,-2.2966256,-2.6030016,274.36575,264.78467,53054.164,-2.5488305,-3.1061537,274.34006,264.53296,53013.086
2018022212,-3.776546,-2.2190514,273.33246,261.27155,53139.38,-3.7859266,-2.0256553,273.8676,260.58542,53157.336
2018022312,-2.6892886,-1.6659443,270.29123,263.41803,53376.51,-1.4678519,-2.879952,270.9733,261.4846,53309.336
2018022412,-1.9158894,-6.58877,268.03366,256.65024,52563.324,-2.4433167,-6.6507163,269.09756,256.42563,52595.605
2018022512,-1.0808302,-2.6957638,266.3515,255.85854,51910.363,-1.9469709,-2.4813533,266.16934,255.21837,51850.387
2018022612,-1.9722782,-2.6450353,265.2899,254.65915,51563.477,-1.693953,-3.1325073,265.15073,253.61311,51608.875
2018022712,-4.012493,-2.17265,265.04257,251.84811,51126.62,-3.9625008,-2.4011943,265.14676,253.08983,51283.254
2018022812,-3.8703303,-2.1796744,264.70795,255.63792,51974.137,-3.7837732,-1.7665112,265.68695,255.31271,51961.984
2018030112,-2.9199831,0.12142253,264.75073,256.97015,52100.336,-3.0268729,0.49880245,266.88095,258.1326,52152.75
2018030212,-3.9709675,-0.56255114,267.5653,258.6963,51542.75,-4.42224,-0.28521788,268.7906,260.92593,52016.957
2018030312,-1.5402181,-1.5063268,265.59595,259.94815,51999.504,-2.514377,-0.67173773,268.86633,261.22516,52057.836
2018030412,-3.0308743,2.55895,272.67163,268.18607,52602.676,-2.0987816,3.4932332,273.25964,269.03473,52665.145
2018030512,0.2908048,3.6423774,276.968,274.94434,53037.293,0.494921,3.5646076,276.8118,275.46603,53040.336
2018030612,-3.3204405,0.6605211,275.67496,272.1978,52620.62,-2.3980966,0.5833537,276.70215,272.03442,52615.81
2018030712,3.9228585,1.390507,277.21127,268.47147,52078.85,3.7787704,1.1960754,276.52277,268.06332,52016.254
2018030812,5.25225,1.6070681,280.38574,270.09937,52412.215,6.248656,0.53613675,280.41974,270.05478,52359.73
2018030912,6.7103806,0.5754474,281.9418,269.5747,52392.594,7.0701566,0.4537817,282.0802,269.8661,52456.285
2018031012,-1.6463968,2.788626,282.64517,275.22562,53946.082,0.45723748,3.7908094,284.39648,274.97076,53932.62
2018031112,-1.5723752,3.5516694,290.25952,279.34146,54229.188,-1.2029907,3.6996698,287.8908,278.2004,54198.332
2018031212,1.1240983,5.6506805,288.58224,278.1949,53064.312,0.8168459,6.0165925,286.47552,277.30124,53019.19
2018031312,5.4894686,1.2284441,285.62094,273.99722,52994.04,5.0481668,1.8560141,285.439,273.6854,52957.875
2018031412,4.494313,-2.4954069,279.0308,268.66046,52993.41,4.728395,-1.7566286,278.41644,268.38467,53063.594
2018031512,-4.0745287,0.95105195,278.3497,268.26526,53311.586,-3.5178351,0.6876701,278.92276,267.85547,53389.92
2018031612,-6.6556873,-3.4582322,274.31616,270.36356,52812.336,-3.9592707,-4.1767697,272.90485,270.75052,52704.145
2018031712,-7.132941,-2.4163997,269.75522,259.623,52520.445,-6.0146375,-2.0487146,268.1547,260.1609,52439.84
2018031812,-7.6686597,-2.5109468,270.7827,259.97903,52632.934,-7.3249474,-2.1596196,268.64307,260.37906,52686.523
2018031912,-3.4761474,-2.124215,271.70227,261.5023,52622.824,-3.7267096,-1.8477682,270.1281,260.67093,52663.266
2018032012,0.16300058,-3.9741848,276.296,263.01825,52169.863,0.67364854,-2.7701452,274.55533,262.48254,52186.348
2018032112,2.0425892,-3.8354504,274.69995,261.2701,52878.816,1.7460138,-3.8012307,275.4902,261.9327,52945.42
2018032212,4.4545617,3.329935,277.7632,265.906,52916.34,3.7647736,3.2933848,277.48953,265.88318,52996.637
2018032312,1.5817308,-1.9424576,277.09225,268.2218,52888.543,1.784774,-1.6358411,276.55466,267.71545,52821.613
2018032412,-1.5427884,2.4511092,279.6134,267.80704,53335.42,-1.9480476,2.5445025,279.78586,267.3882,53351.156
2018032512,-0.104799435,3.9484904,283.52866,271.1211,53785.6,-0.09401855,3.799594,282.0762,271.40207,53799.65
2018032612,1.9951828,-1.269955,282.2525,269.98624,53542.49,2.5115275,-0.22482416,280.72873,269.5064,53496.816
2018032712,1.0822034,-2.4199739,278.88022,267.3688,52863.215,1.1366174,-1.7017252,276.2138,266.18683,52809.863
2018032812,-3.0679746,2.139579,280.10474,269.1456,52732.05,-3.1399233,2.9925141,278.6995,269.83218,52797.414
2018032912,6.4588814,-0.80842173,280.33386,268.94678,52850.1,6.6965513,0.22428554,280.78055,269.4843,52952.473
2018033012,0.3138408,0.9926306,285.25476,271.7016,53208.195,0.7662423,-0.30717924,284.87286,272.65207,53229.46
2018033112,-4.6648655,1.2338837,283.3885,276.94882,53094.594,-2.8664486,1.7912282,285.6463,276.6674,53072.992
2018040112,9.041531,-2.6524498,277.0273,269.97824,52397.35,9.409764,-1.5282305,275.6178,267.99994,52394.266
2018040212,6.502214,-1.0422382,280.69327,269.28058,53196.617,6.7083945,-1.1856334,281.82108,269.1379,53292.42
2018040312,3.194116,3.0715637,291.22644,278.91418,54308.777,0.17622611,3.847909,289.69278,277.7302,54246.496
2018040412,-0.11880991,1.1997643,294.2833,283.21143,54724.773,-0.036954936,2.002057,293.9366,282.91592,54656.457
2018040512,4.6883636,1.3114836,290.21674,276.9615,54097.426,4.137302,1.0050117,290.64362,276.76468,54015.32
2018040612,2.8782861,-1.9510821,283.7162,270.74066,55088.613,3.0024898,-1.2734789,283.27023,271.57306,55183.652
2018040712,-4.382928,3.7129118,289.41104,280.6228,55992.996,-4.4879165,2.9277282,290.07748,280.87878,55964.11
2018040812,-3.0710535,6.438507,293.39594,279.64734,55170.867,-4.0163345,6.128596,292.50937,279.29123,54940.965
2018040912,0.28957784,1.4250348,295.41257,283.29526,55144.14,-0.77662855,0.44938943,294.32132,284.2529,55125.86
2018041012,-3.453925,4.117232,295.79303,282.13272,54675.74,-1.5809025,4.3464317,295.02496,281.31805,54782.85
