date,price,lear56,lear84,lear1092,lear1456
20190101,-7.409999999999999,23.02140529757515,19.812420494221556,18.44602916288896,20.621746634804282
20190102,-48.93,-19.118910174577337,-25.904224107896095,-20.94830074856483,-15.90567001724628
20190103,43.88,43.09960430723666,41.16413893092043,37.029359319858635,36.12369552402674
20190104,47.0,40.91581070763432,42.937397475437294,35.725145122092464,36.57267610803899
20190105,18.37,21.08672546817948,20.048189491592005,24.402687375346062,26.525032451663538
20190106,44.23,42.26000073471283,43.28441644659021,38.48324048147328,38.353638876483615
20190107,46.08,45.62331123209448,46.52357965848256,42.88442238156962,42.724565493589104
20190108,18.56,-6.020184914201623,-5.121191910464771,1.9956178299841114,6.33359137459989
20190109,14.2,14.895341554789287,14.853955193648494,18.3569535871869,20.020665239061607
20190110,48.5,44.63482818601077,44.509932777638426,44.68075022088101,44.79119901066604
20190111,46.24,49.08104779534759,48.2084083881363,39.721433588319265,39.772995413210914
20190112,42.03,35.91031137975857,36.9997298454031,33.58839257608919,34.26362089282431
20190113,23.25,22.194375474617427,23.2176557990135,27.530163658642017,28.76138656581363
20190114,-4.94,-10.741947225088946,-7.432420596495942,0.5995079295678736,5.706900872639469
20190115,30.8,40.79237246155507,29.926474013033044,28.591012086681776,28.400424082593656
20190116,33.06,28.96095911758589,29.682784216352765,29.939209131416487,30.649142264708367
20190117,25.630000000000003,29.610900400614042,28.000176311453536,25.51632411725355,26.597289144838165
20190118,47.89,40.754297894765415,40.820267677124505,42.79623531405678,42.844548674275686
20190119,52.25,55.5698197473155,51.45159542757432,47.47211460525732,48.19579746235631
20190120,49.63,50.53389955755483,50.33730962682159,46.83967189551361,47.08925190835317
20190121,51.14,52.29144606241224,51.4361705118002,45.80410066079588,45.45399907382267
20190122,51.96,52.787250598592664,52.765095757541644,49.763152369190934,49.673688921530456
20190123,51.02,50.73432243229634,51.60382750171226,51.75475332015994,52.01345498361741
20190124,56.95,56.287053817374684,56.62764003425501,56.418014022278,57.311740981673026
20190125,55.279999999999994,59.288009352089375,59.31024608708153,58.001693611763905,58.971260037304184
20190126,41.65,38.05507274121937,38.58596887128356,38.09763064803588,38.52772641824508
20190127,13.61,28.987625814969324,28.682476712860684,28.509798742650094,30.13767559840981
20190128,38.09,39.97671495094731,39.611224103696074,36.9653604773707,36.4250296098118
20190129,45.97,41.80544176284366,42.16612059809431,39.84773407356499,40.448771342195656
20190130,42.74,46.07034421637723,46.240330786011135,41.556082601456204,41.84547708174339
20190131,45.08,47.060804564376994,47.54368151738498,47.86878901716443,48.66262408596866
20190201,41.51,43.11318851812791,43.626101337970375,38.81168510995531,39.06381574179592
20190202,42.71,49.1230160159181,49.31371090694622,46.844024214694024,47.515784041461984
20190203,38.9,41.764998687143496,42.18423635138841,35.03067467392968,35.923011429557356
20190204,38.55,42.54940318770309,42.28792730703676,38.115499047008974,38.05324916917019
20190205,39.82,37.36941805620345,38.25890881031845,35.27295122001983,35.87387034566044
20190206,41.38,45.07675060233792,45.648628236046434,40.94083879879327,41.35092269059412
20190207,37.0,41.627705870897536,42.001519303452895,36.59343935831464,37.15419402521352
20190208,35.71,31.16971630078823,29.761644738644257,32.41931826551076,32.824534607545424
20190209,0.06,16.34264569569195,15.574651735259527,18.842974690927512,20.822623563739274
20190210,10.19,5.9651610750693935,6.22358982915325,6.169497547993097,7.669699308493409
20190211,-3.95,15.03687152782162,17.205102847549398,19.076036395367858,18.834289609458118
20190212,36.08,37.027219520247506,35.197312822949414,31.752753591149236,32.06490398956926
20190213,37.58,37.95933503116624,38.0309302628216,31.106630239720584,32.15806590006322
20190214,38.47,46.13732631230805,46.069700214378756,42.36929903069765,42.67989366826504
20190215,41.1,44.30098272916295,44.446894450108815,42.097875057628826,41.71222772954577
20190216,36.52,31.73745853202387,32.45427842578209,32.22379126111319,31.782416172871827
20190217,36.13,38.89059008342115,38.93788694174251,39.15484688840881,38.902497818086694
20190218,38.8,36.30316712590605,38.29903917498461,38.19995666022323,36.945734386686226
20190219,36.08,33.242532812948845,33.41860086366354,33.23824049838644,33.02281750678
20190220,36.06,34.74987141732193,35.352288509219235,35.783436513420526,35.91977735529359
20190221,36.08,33.4744185819059,37.7146945204622,35.94468769390843,36.2744169634096
20190222,39.35,42.048926019435406,41.7943044759255,42.33480135561492,42.14161901250393
20190223,35.61,34.864090507515456,37.44808825938081,36.32175967879059,36.34633062633618
20190224,36.21,34.77700918251621,37.045394796593925,38.71298234354789,38.24666715775619
20190225,36.06,42.63341380926407,42.71428445451165,41.309599220546566,40.73787176068144
20190226,36.77,41.04770737555575,39.88184526445325,38.71279990231787,38.422682654553
20190227,39.16,39.953556217407034,40.45265008531069,39.88110477982411,39.4297172090841
20190228,28.96,30.33103314799566,30.80964018590377,30.613438011713754,30.86748595932022
20190301,37.33,38.93074856002694,40.25609919497068,39.49628770808839,39.2878258093282
20190302,39.59,39.917027123775675,41.09645184363351,38.825622607775195,38.53330000150465
20190303,0.07,-1.8156088458637911,4.820460788409465,7.914659455721557,11.2152276162322
20190304,-2.47,-10.078872587988272,-5.338777492510323,5.102068711898868,6.121204111553801
20190305,-2.23,4.364927462594681,-12.569494576659912,-4.944652150010839,-2.998698219830499
20190306,30.7,33.31606711303478,35.35731275221343,35.55839933474819,34.28744836667296
20190307,21.8,20.104590117226213,18.58506886428685,21.537259457296578,20.81990454354988
20190308,0.76,-2.1795481116043787,-8.155532257722607,0.020039452739653997,0.968946990694279
20190309,0.06,-1.5672480611430715,9.070667598269875,8.04810815745066,11.114898339829121
